feature,importance
user_speak_mean,0.23224246109751545
user_turns_mean,0.16940271762221124
user_speak_sd,0.1671628042170584
user_turns_sd,0.07628327513620499
user_self_mean,0.05955919200692517
user_self_sd,0.05301495062121245
user_add_sd,0.0523196729090469
user_add_mean,0.047524124329059066
user_del_sd,0.042143528528187105
user_del_mean,0.0389256764073447
user_wh_mean,0.024330985388870636
user_wh_sd,0.014814499912971912
user_us_mean,0.01353793296636477
user_us_sd,0.008738178857027056
